State,AccountLength,AreaCode,Phone,IntlPlan,VMailPlan,VMailMessage,DayMins,DayCalls,DayCharge,EveMins,EveCalls,EveCharge,NightMins,NightCalls,NightCharge,IntlMins,IntlCalls,IntlCharge,CustServCalls,Churn
TN,104,408,330-5907,yes,yes,22,201.3,112,34.22,222.6,103,18.92,195.2,101,8.78,7.1,7,1.92,5,True
TX,56,408,372-6860,yes,yes,21,190.4,125,32.37,171.7,75,14.59,163.5,87,7.36,9.9,5,2.67,2,True
AZ,144,408,382-6225,no,yes,40,208.4,117,35.43,228.4,107,19.41,173.9,109,7.83,8.0,5,2.16,0,False
OH,86,415,367-3381,yes,yes,21,226.6,91,38.52,253.8,76,21.57,217.2,109,9.77,13.0,3,3.51,2,True
TN,75,510,311-6315,yes,yes,16,221.8,119,37.71,155.5,82,13.22,241.9,116,10.89,10.6,5,2.86,3,True
PA,136,415,393-5258,yes,yes,20,196.8,99,33.46,215.3,92,18.3,219.9,110,9.9,11.2,4,3.02,3,True
FL,136,510,345-4422,no,yes,38,203.6,104,34.61,173.2,83,14.72,189.7,98,8.54,8.2,2,2.21,1,False
WI,103,510,378-5188,yes,no,0,184.1,121,31.3,199.8,91,16.98,245.7,117,11.06,12.9,7,3.48,5,True
GA,117,408,385-3617,yes,no,0,200.1,84,34.02,154.8,75,13.16,178.3,117,8.02,7.6,6,2.05,5,True
NC,79,510,367-2189,no,no,0,254.5,80,43.27,223.1,80,18.96,190.5,106,8.57,13.2,6,3.56,4,False
WI,67,415,388-6000,no,yes,29,156.5,84,26.61,257.8,119,21.91,169.8,108,7.64,7.1,5,1.92,1,False
NC,99,408,324-5696,yes,yes,28,238.3,85,40.51,199.1,96,16.92,190.5,97,8.57,10.4,2,2.81,0,True
SC,80,415,319-2819,yes,no,0,252.9,102,42.99,163.8,90,13.92,179.8,101,8.09,11.4,7,3.08,3,False
NY,91,510,363-3535,no,yes,25,131.8,105,22.41,156.4,85,13.29,169.2,118,7.61,10.3,4,2.78,5,True
FL,120,408,332-6153,no,yes,35,191.2,81,32.5,229.4,113,19.5,180.8,97,8.14,10.5,5,2.83,4,False
IL,136,510,393-8135,yes,no,0,204.8,97,34.82,217.2,112,18.46,207.9,94,9.36,10.7,2,2.89,1,False
IL,145,510,391-9703,yes,yes,35,197.6,118,33.59,167.7,116,14.25,194.7,119,8.76,11.6,5,3.13,4,True
WA,79,510,352-2419,yes,no,0,238.4,111,40.53,200.7,86,17.06,214.3,95,9.64,11.1,2,3.0,0,False
AZ,84,408,306-6964,no,yes,30,181.1,81,30.79,204.8,104,17.41,234.2,91,10.54,12.6,6,3.4,0,False
WA,83,415,342-7385,yes,yes,37,139.8,85,23.77,197.5,75,16.79,249.3,115,11.22,8.3,2,2.24,0,False
WA,136,415,349-3700,no,no,0,124.2,117,21.11,198.5,103,16.87,196.3,109,8.83,10.3,5,2.78,0,False
TX,91,408,387-6920,yes,no,0,153.9,97,26.16,160.8,102,13.67,225.8,88,10.16,13.7,5,3.7,1,True
TX,144,408,335-5752,yes,yes,39,174.3,118,29.63,165.7,107,14.08,198.5,109,8.93,10.1,4,2.73,0,False
AZ,112,415,310-8280,yes,no,0,158.3,96,26.91,141.7,89,12.04,158.5,113,7.13,7.4,6,2.0,0,False
PA,72,510,339-1955,no,no,0,195.6,83,33.25,214.5,84,18.23,158.6,119,7.14,10.2,4,2.75,5,False
TX,76,415,310-3520,yes,yes,20,250.0,125,42.5,221.4,93,18.82,218.3,93,9.82,9.6,5,2.59,0,False
AZ,69,510,351-2690,no,yes,40,161.7,104,27.49,236.7,93,20.12,219.4,94,9.87,13.6,2,3.67,1,False
VA,88,408,366-8734,no,no,0,225.1,88,38.27,203.1,87,17.26,186.3,99,8.38,7.9,5,2.13,5,True
IL,58,415,375-2120,yes,yes,32,141.6,119,24.07,161.1,79,13.69,224.6,87,10.11,11.5,5,3.11,4,False
NY,104,408,359-3124,no,yes,39,130.2,112,22.13,222.5,113,18.91,196.7,116,8.85,8.0,5,2.16,1,False
IN,104,415,316-6421,yes,yes,37,206.1,107,35.04,184.3,112,15.67,208.7,104,9.39,12.5,6,3.38,2,True
CA,120,408,369-1075,no,no,0,216.1,123,36.74,201.5,99,17.13,184.4,96,8.3,13.8,7,3.73,1,False
NC,88,510,397-6730,no,yes,19,210.0,125,35.7,176.6,100,15.01,173.8,118,7.82,13.8,6,3.73,5,False
WA,119,510,394-6881,no,no,0,235.9,112,40.1,186.1,108,15.82,188.2,114,8.47,8.6,6,2.32,5,False
LA,58,510,302-6188,no,yes,37,211.2,121,35.9,230.5,88,19.59,219.4,87,9.87,9.4,7,2.54,3,False
VA,107,415,335-6229,yes,yes,17,127.3,121,21.64,183.9,75,15.63,238.5,117,10.73,8.5,5,2.29,2,True
SC,127,408,377-6097,yes,no,0,226.8,85,38.56,218.4,105,18.56,160.3,108,7.21,10.0,4,2.7,2,True
NC,62,510,392-6231,no,yes,28,159.3,117,27.08,159.1,107,13.52,199.4,99,8.97,10.0,7,2.7,4,True
PA,68,415,347-5382,yes,yes,30,246.5,107,41.91,155.0,95,13.18,238.3,102,10.72,8.4,3,2.27,4,False
MO,51,415,319-2182,no,no,0,212.7,97,36.16,169.9,116,14.44,152.5,110,6.86,9.5,3,2.57,0,False
TN,107,415,372-4045,no,no,0,131.2,100,22.3,152.8,105,12.99,232.0,113,10.44,11.0,2,2.97,0,False
OH,70,510,312-9231,yes,no,0,157.4,108,26.76,252.5,76,21.46,201.4,97,9.06,13.3,5,3.59,3,True
MO,81,415,351-6201,no,yes,28,151.3,102,25.72,150.4,85,12.78,163.7,104,7.37,7.4,6,2.0,0,False
VA,56,510,383-6917,yes,yes,23,247.4,120,42.06,157.5,89,13.39,177.7,91,8.0,9.0,4,2.43,4,True
TN,52,510,357-1779,no,no,0,160.5,116,27.29,156.4,76,13.29,242.5,86,10.91,7.6,3,2.05,1,False
NY,89,510,318-5909,yes,no,0,141.4,81,24.04,199.3,75,16.94,164.0,108,7.38,11.2,3,3.02,5,False
VA,86,408,387-8185,yes,no,0,191.4,123,32.54,166.2,78,14.13,216.2,106,9.73,10.2,6,2.75,3,False
NY,104,510,312-3588,yes,no,0,254.2,91,43.21,141.0,117,11.99,167.3,102,7.53,12.9,2,3.48,3,True
TN,100,408,301-8431,yes,yes,40,156.3,123,26.57,145.1,75,12.33,169.1,119,7.61,12.9,4,3.48,2,True
CA,91,415,395-9207,no,no,0,155.2,96,26.38,186.6,90,15.86,202.5,104,9.11,10.1,5,2.73,5,False
GA,73,510,370-6693,yes,yes,36,175.8,91,29.89,190.9,100,16.23,177.0,94,7.96,10.4,7,2.81,4,False
NC,88,415,359-2465,yes,yes,25,152.0,85,25.84,246.0,92,20.91,247.8,87,11.15,8.4,4,2.27,5,True
CO,148,415,368-2635,yes,yes,20,143.7,94,24.43,187.7,112,15.95,152.0,97,6.84,12.2,4,3.29,1,True
WA,113,408,351-3515,no,no,0,153.7,111,26.13,191.7,85,16.29,204.0,104,9.18,12.0,5,3.24,5,True
WI,134,408,356-2524,no,yes,40,128.5,111,21.85,194.8,87,16.56,159.1,114,7.16,10.5,6,2.83,4,False
CO,113,415,313-4403,yes,yes,36,122.4,103,20.81,204.3,119,17.37,150.8,85,6.79,13.6,6,3.67,2,False
OH,90,510,388-7490,yes,no,0,198.5,85,33.75,179.6,118,15.27,190.0,116,8.55,12.6,6,3.4,3,True
PA,53,408,320-4638,no,yes,32,217.0,86,36.89,148.4,76,12.61,212.9,112,9.58,9.8,6,2.65,0,False
NY,102,415,335-4912,no,yes,18,226.4,121,38.49,214.3,114,18.22,157.1,119,7.07,10.9,7,2.94,2,False
SC,111,510,352-8016,yes,no,0,131.7,98,22.39,256.3,96,21.79,176.2,119,7.93,13.4,4,3.62,2,True
PA,105,415,373-6016,no,yes,38,159.2,90,27.06,151.3,116,12.86,233.0,111,10.48,8.9,3,2.4,3,False
PA,126,415,347-6237,no,no,0,203.8,108,34.65,145.3,108,12.35,216.1,109,9.72,13.4,4,3.62,2,False
TX,50,510,361-8498,yes,yes,33,168.8,124,28.7,216.8,92,18.43,175.2,110,7.88,8.8,6,2.38,4,True
FL,97,408,300-3258,yes,no,0,148.4,114,25.23,181.0,95,15.39,172.0,107,7.74,7.8,4,2.11,2,False
CA,105,510,336-6504,no,yes,24,240.2,114,40.83,182.2,80,15.49,153.7,101,6.92,10.9,7,2.94,3,False
OH,109,510,383-9196,yes,no,0,146.9,85,24.97,216.7,87,18.42,221.7,108,9.98,10.7,2,2.89,1,True
SC,105,415,354-9481,no,yes,18,218.1,82,37.08,256.0,104,21.76,171.1,117,7.7,9.1,5,2.46,1,False
MI,123,415,360-6132,yes,yes,40,172.1,121,29.26,175.1,113,14.88,183.2,96,8.24,12.7,6,3.43,0,False
LA,87,415,371-7741,no,yes,31,126.1,106,21.44,254.6,88,21.64,181.9,117,8.19,10.6,3,2.86,2,False
CA,132,415,320-1265,no,no,0,175.6,115,29.85,213.0,82,18.11,150.8,96,6.79,11.3,3,3.05,5,True
PA,139,510,355-3775,no,no,0,143.7,112,24.43,174.8,110,14.86,185.6,105,8.35,7.7,3,2.08,0,False
PA,148,510,380-3992,yes,no,0,257.0,81,43.69,240.2,89,20.42,196.4,89,8.84,7.8,2,2.11,3,True
MO,121,408,357-6091,yes,yes,22,142.4,88,24.21,234.8,89,19.96,228.1,92,10.26,10.8,2,2.92,1,False
FL,110,510,363-7750,no,yes,29,207.1,118,35.21,143.4,91,12.19,242.1,120,10.89,11.6,6,3.13,0,False
NY,62,415,346-1625,no,no,0,210.1,111,35.72,239.5,85,20.36,164.6,107,7.41,12.0,2,3.24,5,True
WI,135,510,313-8368,no,yes,18,124.8,82,21.22,195.6,90,16.63,168.1,96,7.56,9.6,5,2.59,1,False
IN,149,408,354-7184,no,no,0,231.1,119,39.29,246.2,78,20.93,200.1,85,9.0,10.3,6,2.78,0,True
NC,107,510,322-7167,no,no,0,160.2,103,27.23,188.9,92,16.06,164.1,112,7.38,7.4,4,2.0,3,False
WI,132,415,353-1762,no,yes,37,205.1,123,34.87,178.8,83,15.2,193.5,96,8.71,12.2,2,3.29,3,False
SC,147,408,349-2687,yes,yes,33,228.8,82,38.9,250.6,120,21.3,171.1,89,7.7,13.4,7,3.62,5,True
NC,97,408,319-8209,yes,no,0,248.0,98,42.16,144.3,114,12.27,249.3,99,11.22,10.3,7,2.78,0,True
CA,93,510,319-8439,yes,no,0,159.5,87,27.12,212.1,88,18.03,195.2,87,8.78,7.5,3,2.03,3,False
CO,50,408,397-2677,yes,no,0,224.9,88,38.23,164.2,105,13.96,171.6,105,7.72,13.8,7,3.73,2,True
IN,54,408,316-3286,no,no,0,209.0,109,35.53,155.9,81,13.25,159.8,108,7.19,10.4,2,2.81,5,True
OH,138,510,390-7609,no,yes,26,205.1,109,34.87,153.3,113,13.03,199.4,85,8.97,12.1,3,3.27,5,False
WI,142,510,379-8301,yes,no,0,174.4,80,29.65,155.2,85,13.19,242.8,97,10.93,7.2,6,1.94,5,False
NC,88,415,339-9629,no,no,0,156.8,83,26.66,146.5,87,12.45,164.8,92,7.42,7.5,6,2.03,3,False
CO,70,408,383-2148,no,no,0,161.3,123,27.42,231.5,94,19.68,220.4,85,9.92,9.2,6,2.48,5,False
NC,143,415,367-4073,yes,yes,24,158.9,97,27.01,178.5,105,15.17,154.3,98,6.94,11.9,2,3.21,1,False
IN,104,415,329-1017,no,no,0,203.2,103,34.54,230.8,88,19.62,208.1,91,9.36,12.6,6,3.4,1,False
CA,85,408,300-1640,yes,yes,32,121.5,87,20.66,240.6,103,20.45,165.6,90,7.45,9.8,3,2.65,4,True
TN,73,415,340-7795,no,no,0,254.4,121,43.25,193.6,90,16.46,189.6,90,8.53,13.5,7,3.65,5,True
IN,130,415,386-3996,yes,no,0,234.6,113,39.88,227.8,117,19.36,230.6,100,10.38,10.4,7,2.81,3,True
TX,83,510,326-6631,no,no,0,205.2,81,34.88,234.3,90,19.92,190.1,115,8.55,9.2,4,2.48,5,False
WA,55,510,342-3064,yes,no,0,257.3,82,43.74,182.8,86,15.54,212.9,100,9.58,7.4,3,2.0,2,True
LA,78,510,385-6630,yes,no,0,123.3,84,20.96,160.3,120,13.63,171.6,100,7.72,13.0,7,3.51,0,True
OH,109,415,384-2828,no,yes,34,169.7,89,28.85,195.4,81,16.61,171.9,109,7.74,8.3,3,2.24,3,False
IL,85,415,381-7017,no,no,0,145.0,87,24.65,222.7,105,18.93,150.4,98,6.77,13.1,3,3.54,2,False
VA,135,408,323-7849,yes,no,0,162.5,91,27.63,162.2,97,13.79,164.1,119,7.38,11.5,4,3.11,2,True
GA,141,415,323-7403,no,yes,19,142.6,125,24.24,158.3,118,13.46,156.7,95,7.05,11.5,4,3.11,4,False
IL,111,415,344-4818,yes,no,0,201.7,84,34.29,194.2,119,16.51,234.0,100,10.53,12.0,4,3.24,5,False
GA,69,408,391-9418,yes,no,0,176.3,91,29.97,154.3,102,13.12,177.3,119,7.98,13.4,4,3.62,0,False
MO,107,408,355-9408,yes,yes,38,123.4,117,20.98,209.9,82,17.84,226.1,86,10.17,10.1,2,2.73,3,True
GA,112,510,382-7638,no,no,0,182.8,115,31.08,243.7,106,20.71,225.0,111,10.12,11.4,3,3.08,1,False
TX,102,415,377-1388,no,yes,32,253.3,115,43.06,164.6,92,13.99,180.4,89,8.12,11.1,4,3.0,3,True
IL,70,415,316-7075,no,yes,33,258.7,92,43.98,158.5,101,13.47,236.2,98,10.63,10.0,2,2.7,1,True
WA,138,408,321-1476,no,no,0,157.7,90,26.81,220.3,78,18.73,205.9,89,9.27,13.8,4,3.73,1,False
CO,55,408,395-4799,no,no,0,175.2,113,29.78,164.6,95,13.99,172.5,87,7.76,8.9,7,2.4,3,False
NC,147,408,369-9725,yes,no,0,213.9,99,36.36,179.8,91,15.28,244.0,103,10.98,9.1,7,2.46,2,True
IN,137,408,340-1872,yes,no,0,201.4,93,34.24,208.9,119,17.76,159.2,109,7.16,9.3,5,2.51,2,True
IL,80,510,347-1705,no,yes,28,231.4,106,39.34,155.1,89,13.18,224.4,99,10.1,12.5,4,3.38,0,False
WA,105,408,308-9275,yes,no,0,158.8,80,27.0,159.2,113,13.53,177.1,110,7.97,11.1,6,3.0,3,True
MO,109,408,320-2283,no,no,0,127.0,94,21.59,232.0,95,19.72,176.3,116,7.93,9.0,6,2.43,3,False
VA,102,408,341-6797,yes,no,0,120.3,99,20.45,240.9,105,20.48,201.5,116,9.07,10.6,2,2.86,3,True
FL,133,415,369-7073,yes,yes,40,152.8,84,25.98,156.7,79,13.32,169.4,91,7.62,10.6,3,2.86,0,False
GA,143,408,390-2462,no,yes,32,158.7,83,26.98,215.6,94,18.33,215.0,91,9.67,12.6,5,3.4,4,False
AZ,89,510,344-7656,no,yes,26,144.4,81,24.55,190.7,90,16.21,188.3,90,8.47,12.9,7,3.48,3,False
TX,149,415,358-7859,yes,no,0,139.9,103,23.78,237.0,118,20.15,192.6,97,8.67,12.2,2,3.29,3,True
WI,93,408,314-2790,no,yes,19,200.7,80,34.12,215.0,89,18.28,158.6,103,7.14,13.6,5,3.67,0,False
CA,76,415,380-7871,yes,yes,22,256.1,105,43.54,217.0,76,18.45,153.9,92,6.93,9.4,6,2.54,4,True
TX,130,415,377-2033,no,no,0,187.8,103,31.93,234.0,89,19.89,163.8,116,7.37,7.8,7,2.11,4,False
WA,95,510,382-1289,no,yes,36,197.7,123,33.61,146.5,105,12.45,239.9,113,10.8,8.8,4,2.38,1,False
TX,74,415,376-1711,yes,yes,25,167.4,116,28.46,208.6,91,17.73,195.6,99,8.8,8.4,4,2.27,3,True
PA,80,415,346-6147,yes,yes,40,155.8,94,26.49,237.6,82,20.2,238.6,117,10.74,13.3,3,3.59,0,False
MI,137,415,387-3161,yes,no,0,186.7,93,31.74,229.1,108,19.47,236.2,95,10.63,12.1,2,3.27,1,True
SC,77,415,354-8872,no,no,0,131.1,109,22.29,172.7,79,14.68,216.7,93,9.75,12.0,3,3.24,4,True
TN,150,415,328-6938,no,no,0,204.6,108,34.78,235.9,115,20.05,197.2,110,8.87,7.3,2,1.97,1,False
PA,57,408,336-1461,yes,no,0,156.3,90,26.57,247.4,105,21.03,154.8,109,6.97,9.6,3,2.59,1,False
OH,147,408,360-1573,no,yes,18,181.7,113,30.89,220.2,97,18.72,241.6,99,10.87,7.7,2,2.08,3,False
AZ,94,408,349-1875,no,yes,17,120.9,89,20.55,238.7,81,20.29,229.5,102,10.33,9.1,4,2.46,4,False
IL,70,415,382-7934,no,yes,18,189.6,114,32.23,207.0,92,17.6,217.9,91,9.81,11.6,7,3.13,3,False
AZ,81,408,397-2846,yes,no,0,180.5,123,30.69,220.9,110,18.78,234.6,112,10.56,11.9,3,3.21,5,True
IL,106,415,353-8634,yes,yes,40,159.1,98,27.05,243.5,113,20.7,162.7,114,7.32,12.0,6,3.24,5,True
CO,93,510,346-9623,no,no,0,144.4,113,24.55,169.1,107,14.37,225.6,109,10.15,9.7,3,2.62,0,False
FL,108,510,367-5101,yes,no,0,239.0,82,40.63,237.2,78,20.16,168.0,96,7.56,13.4,2,3.62,2,False
WI,93,415,354-9564,no,yes,16,139.4,87,23.7,255.6,94,21.73,248.0,119,11.16,13.6,4,3.67,3,False
SC,138,510,382-5471,yes,yes,32,180.4,111,30.67,144.3,78,12.27,202.7,106,9.12,12.0,3,3.24,1,True
TN,106,415,310-9286,yes,yes,28,186.8,103,31.76,182.6,101,15.52,166.0,110,7.47,13.1,5,3.54,1,True
WI,52,415,351-6405,no,no,0,150.3,89,25.55,218.8,107,18.6,196.8,88,8.86,8.9,6,2.4,4,True
CA,64,415,341-2814,yes,no,0,187.9,94,31.94,241.2,92,20.5,159.9,94,7.2,13.9,3,3.75,1,True
NY,127,510,398-4677,no,no,0,139.1,98,23.65,185.9,81,15.8,222.8,105,10.03,13.7,6,3.7,3,False
OH,77,510,339-1470,no,yes,33,159.9,84,27.18,242.0,104,20.57,246.6,104,11.1,9.4,5,2.54,1,False
IN,67,408,307-9112,no,no,0,245.5,90,41.74,234.4,78,19.92,188.6,89,8.49,14.0,4,3.78,1,False
MI,137,510,370-4498,yes,yes,28,228.5,106,38.85,248.0,78,21.08,159.6,99,7.18,11.2,2,3.02,3,True
CA,66,510,321-6269,no,no,0,202.4,106,34.41,155.8,101,13.24,228.8,106,10.3,7.5,2,2.03,1,False
WA,68,415,369-4145,yes,yes,32,237.4,100,40.36,242.4,78,20.6,187.6,115,8.44,10.9,2,2.94,4,True
VA,87,510,342-3414,no,no,0,222.7,107,37.86,258.0,117,21.93,244.8,101,11.02,7.5,7,2.03,3,False
IL,103,408,327-5454,yes,yes,35,184.8,96,31.42,191.2,89,16.25,156.4,111,7.04,12.3,5,3.32,2,True
IN,144,408,331-9299,no,yes,33,130.7,96,22.22,237.3,85,20.17,185.6,104,8.35,7.6,4,2.05,2,False
TX,150,510,355-6921,no,no,0,154.2,111,26.21,170.3,85,14.48,187.8,105,8.45,9.5,5,2.57,4,True
PA,98,415,355-8040,yes,yes,25,179.6,89,30.53,231.4,112,19.67,161.9,98,7.29,12.0,2,3.24,0,True
MI,128,510,326-3723,no,yes,25,211.5,92,35.96,187.5,110,15.94,182.8,105,8.23,7.4,3,2.0,2,False
SC,76,408,313-9696,yes,no,0,216.8,105,36.86,155.1,101,13.18,175.5,89,7.9,11.7,7,3.16,3,False
LA,121,415,344-3626,no,yes,20,162.3,92,27.59,142.3,98,12.1,226.8,116,10.21,9.5,6,2.57,5,False
MI,98,415,375-2160,yes,yes,28,198.6,118,33.76,254.3,78,21.62,237.5,90,10.69,11.3,5,3.05,4,True
OH,149,408,373-9187,no,yes,38,242.7,109,41.26,242.0,114,20.57,182.5,86,8.21,9.5,7,2.57,2,False
MI,76,408,338-9938,no,yes,39,130.9,109,22.25,257.2,82,21.86,227.5,96,10.24,13.2,6,3.56,0,False
SC,67,408,377-4757,no,yes,19,120.7,106,20.52,258.8,98,22.0,202.0,97,9.09,7.3,3,1.97,0,False
LA,115,415,398-9384,yes,yes,26,237.4,114,40.36,175.6,114,14.93,158.4,106,7.13,11.3,4,3.05,5,True
MI,137,408,318-1171,yes,yes,31,210.6,106,35.8,226.4,101,19.24,229.1,89,10.31,13.9,6,3.75,0,False
TX,52,415,388-1334,no,yes,40,233.7,86,39.73,176.1,79,14.97,194.8,95,8.77,10.9,4,2.94,0,False
NC,82,408,391-8863,yes,yes,33,215.2,125,36.58,155.0,99,13.18,173.7,110,7.82,9.5,2,2.57,1,True
TN,126,510,398-6576,yes,yes,23,244.9,87,41.63,211.3,103,17.96,175.8,91,7.91,11.7,4,3.16,0,True
MO,141,510,348-8440,no,yes,21,170.7,120,29.02,250.2,99,21.27,242.4,95,10.91,9.5,3,2.57,0,False
GA,54,415,308-5661,yes,yes,32,214.5,106,36.47,251.1,90,21.34,150.4,109,6.77,10.6,6,2.86,3,True
VA,128,510,305-6651,no,yes,40,176.9,119,30.07,210.8,85,17.92,242.2,96,10.9,9.3,4,2.51,3,False
CO,83,510,386-6686,yes,yes,25,239.2,113,40.66,198.5,116,16.87,175.9,98,7.92,8.7,6,2.35,2,True
NY,119,408,338-3264,no,no,0,125.1,113,21.27,242.1,119,20.58,153.0,111,6.88,9.1,6,2.46,3,False
WI,71,408,374-2861,yes,no,0,127.4,116,21.66,154.5,120,13.13,171.4,103,7.71,12.1,4,3.27,0,True
MO,150,510,365-7778,yes,no,0,163.3,117,27.76,187.9,117,15.97,200.3,93,9.01,7.4,7,2.0,4,True
IN,70,415,318-4983,no,yes,27,221.4,91,37.64,255.4,107,21.71,196.2,106,8.83,13.7,4,3.7,0,False
LA,120,415,320-5201,yes,no,0,161.9,105,27.52,216.4,117,18.39,224.5,97,10.1,11.2,7,3.02,4,True
OH,108,415,309-8032,yes,no,0,236.6,84,40.22,187.5,110,15.94,160.5,110,7.22,7.4,2,2.0,5,True
CO,147,510,398-6452,yes,no,0,209.1,91,35.55,216.3,115,18.39,241.0,109,10.84,13.9,5,3.75,3,True
MI,52,408,397-6805,yes,no,0,145.1,104,24.67,169.2,96,14.38,195.6,85,8.8,11.3,7,3.05,1,True
WA,105,408,349-2197,no,no,0,141.6,113,24.07,235.3,104,20.0,241.4,108,10.86,11.1,7,3.0,4,True
SC,84,510,336-4854,yes,yes,34,199.4,86,33.9,151.3,106,12.86,203.4,91,9.15,8.7,2,2.35,1,True
GA,65,415,358-6329,yes,yes,23,240.6,102,40.9,256.9,108,21.84,230.7,90,10.38,7.1,7,1.92,1,True
VA,87,415,350-5451,yes,no,0,130.6,95,22.2,239.2,106,20.33,164.0,88,7.38,8.6,6,2.32,0,False
TN,101,408,318-5031,yes,yes,30,131.4,83,22.34,233.0,120,19.8,152.8,99,6.88,12.4,7,3.35,4,True
CA,142,408,305-8504,yes,no,0,159.8,115,27.17,164.8,92,14.01,246.1,86,11.07,12.7,4,3.43,3,False
TN,102,408,396-7950,no,no,0,126.4,96,21.49,176.8,113,15.03,241.6,113,10.87,12.5,5,3.38,3,False
SC,107,510,376-4519,no,no,0,182.7,82,31.06,167.4,107,14.23,241.1,117,10.85,7.5,2,2.03,3,False
CO,126,408,372-1885,yes,yes,31,136.0,91,23.12,164.9,88,14.02,153.8,98,6.92,9.7,4,2.62,2,True
PA,128,415,376-6341,yes,yes,25,128.8,99,21.9,225.2,115,19.14,216.0,112,9.72,12.3,5,3.32,5,True
CA,140,415,346-2756,yes,yes,17,179.7,116,30.55,215.5,79,18.32,220.1,85,9.9,7.7,3,2.08,2,True
CA,118,408,332-5285,no,no,0,237.4,84,40.36,166.8,109,14.18,194.7,109,8.76,8.0,6,2.16,1,True
VA,64,510,362-4564,yes,no,0,167.6,117,28.49,217.0,80,18.45,225.7,92,10.16,11.9,5,3.21,5,False
MI,50,510,330-7019,yes,no,0,200.7,125,34.12,233.5,112,19.85,196.0,109,8.82,10.0,3,2.7,3,False
TN,57,415,311-3299,yes,yes,24,162.8,97,27.68,228.8,108,19.45,160.6,86,7.23,8.2,7,2.21,3,True
OH,55,408,307-4042,yes,yes,21,186.4,103,31.69,216.1,91,18.37,201.7,106,9.08,8.7,2,2.35,3,True
LA,147,408,320-1446,yes,no,0,209.2,114,35.56,200.3,111,17.03,212.8,92,9.58,7.3,5,1.97,3,True
OH,78,510,374-9976,yes,yes,20,230.4,122,39.17,234.5,84,19.93,205.2,91,9.23,13.3,7,3.59,0,True
NY,125,510,313-4250,yes,yes,32,215.0,85,36.55,248.8,96,21.15,214.5,103,9.65,10.8,4,2.92,5,True
LA,141,510,389-8059,no,yes,20,180.0,116,30.6,156.4,114,13.29,244.1,87,10.98,9.9,5,2.67,5,False
AZ,140,408,385-2481,no,no,0,220.1,110,37.42,175.2,96,14.89,237.9,100,10.71,13.4,7,3.62,4,True
TN,149,510,332-8008,yes,yes,20,233.7,111,39.73,163.7,116,13.91,221.0,120,9.95,12.6,7,3.4,2,False
GA,99,510,318-5222,no,no,0,121.5,86,20.66,212.1,119,18.03,151.0,117,6.79,8.0,6,2.16,3,False
NC,123,408,357-1355,yes,no,0,180.9,111,30.75,142.1,77,12.08,243.4,111,10.95,8.0,3,2.16,4,True
IN,67,415,323-9243,no,no,0,242.7,85,41.26,189.9,84,16.14,249.7,116,11.24,11.0,6,2.97,1,True
TN,136,510,304-5303,no,yes,31,152.2,117,25.87,259.9,81,22.09,239.1,90,10.76,7.1,6,1.92,1,False
WI,118,510,326-8682,yes,no,0,143.2,116,24.34,223.8,95,19.02,154.7,115,6.96,13.2,3,3.56,3,False
LA,110,408,304-5578,no,no,0,170.1,108,28.92,191.5,85,16.28,240.8,119,10.84,11.9,2,3.21,5,False
MO,65,408,365-1908,no,yes,19,152.8,86,25.98,190.1,98,16.16,151.2,115,6.8,13.3,5,3.59,1,False
MI,145,415,329-8493,yes,no,0,137.4,93,23.36,183.3,88,15.58,224.4,87,10.1,13.9,6,3.75,4,False
IL,58,408,390-1905,yes,no,0,183.9,98,31.26,187.9,89,15.97,214.3,87,9.64,9.8,4,2.65,3,False
WA,128,415,371-9250,no,yes,24,258.1,119,43.88,211.3,88,17.96,179.6,105,8.08,13.2,2,3.56,1,False
AZ,113,408,355-7808,no,no,0,145.3,80,24.7,199.3,104,16.94,208.4,99,9.38,9.7,3,2.62,1,False
CA,66,408,369-7825,no,yes,34,146.2,94,24.85,154.5,102,13.13,235.8,114,10.61,12.7,7,3.43,2,False
MO,78,510,343-5993,yes,yes,15,148.0,84,25.16,163.7,104,13.91,210.4,88,9.47,11.1,6,3.0,5,False
MI,57,510,334-9876,no,no,0,173.9,115,29.56,228.0,114,19.38,183.8,86,8.27,11.5,4,3.11,2,False
GA,139,510,371-3391,no,no,0,243.9,98,41.46,218.9,92,18.61,187.6,108,8.44,12.6,4,3.4,3,True
OH,80,408,342-7191,yes,no,0,211.3,101,35.92,145.3,114,12.35,197.7,100,8.9,10.6,2,2.86,3,False
WI,60,510,358-1567,no,no,0,209.9,104,35.68,184.1,86,15.65,227.3,108,10.23,7.1,5,1.92,4,False
MO,60,510,338-6008,yes,no,0,190.4,100,32.37,235.8,105,20.04,244.6,111,11.01,11.3,2,3.05,0,False
NC,71,408,315-8019,yes,no,0,123.2,114,20.94,232.7,113,19.78,205.2,86,9.23,7.7,7,2.08,3,True
IN,51,408,367-9491,yes,no,0,201.4,114,34.24,177.9,100,15.12,228.6,111,10.29,9.4,7,2.54,1,True
SC,83,510,339-2188,yes,yes,18,252.7,96,42.96,159.4,104,13.55,187.5,94,8.44,11.3,7,3.05,2,True
CO,57,415,381-6420,yes,yes,16,244.1,117,41.5,196.7,100,16.72,243.0,94,10.93,13.6,2,3.67,0,True
NY,105,510,317-8332,yes,yes,29,246.4,87,41.89,144.9,101,12.32,220.1,94,9.9,9.2,4,2.48,1,False
